file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,class,2,5,3,2,10,1,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,2,2,2,0,0,3,3,9,2,7,3,0,0,1,25,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,class,4,7,3,4,9,1,0,11,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,34,5,0,3,0,1,0,3,3,0,3,1,0,0,0,18,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/DetailFragment.java,it.feio.android.omninotes.DetailFragment$AttachmentOnClickListener,innerclass,7,7,0,7,12,1,0,24,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,1,0,0,2,1,1,1,1,2,0,0,0,42,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,class,14,15,1,14,14,2,0,28,0,0.5,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,6,69,5,0,5,0,0,2,3,14,1,7,2,0,1,0,30,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/misc/DynamicNavigationLookupTable.java,it.feio.android.omninotes.models.misc.DynamicNavigationLookupTable,class,6,8,2,6,15,1,0,16,20,0.775,0.1904762,0.47619048,8,1,7,1,0,0,7,0,0,0,5,1,0,1,0,4,0,0,2,55,5,1,3,0,1,1,3,7,0,7,3,0,0,1,33,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/NavDrawerCategoryAdapter.java,it.feio.android.omninotes.models.adapters.NavDrawerCategoryAdapter,class,14,19,5,14,16,2,0,35,0,0.54285717,0.6666667,0.6666667,7,0,6,1,0,0,6,0,0,0,5,0,0,5,0,0,1,0,5,76,5,0,4,0,1,2,4,19,0,13,2,0,0,0,42,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/NoteAdapter.java,it.feio.android.omninotes.models.adapters.NoteAdapter,class,21,24,3,21,52,2,0,68,129,0.8383839,0.20512821,0.20512821,22,0,13,9,0,0,13,0,0,0,9,0,0,9,0,0,2,0,12,182,5,2,12,1,1,8,13,29,0,24,4,0,0,0,122,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/MainActivity.java,it.feio.android.omninotes.MainActivity,class,41,62,21,41,88,3,0,124,557,0.9506493,0.027692307,0.033846155,35,0,20,9,5,1,26,0,0,0,11,1,5,2,0,4,4,0,14,334,19,1,30,0,12,14,7,44,2,40,3,0,0,3,199,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/ImageAndTextAdapter.java,it.feio.android.omninotes.models.adapters.ImageAndTextViewHolder,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/NavigationItem.java,it.feio.android.omninotes.models.NavigationItem,class,0,3,3,0,9,1,0,0,12,0.6666667,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,0,0,0,0,8,0,4,0,0,0,0,12,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/extensions/ONDashClockExtension.java,it.feio.android.omninotes.extensions.ONDashClockExtension$DashClockUpdateReceiver,innerclass,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/test/java/it/feio/android/omninotes/utils/TagsHelperTest.java,it.feio.android.omninotes.utils.TagsHelperTest,class,6,6,0,6,5,1,0,15,0,0.33333334,1.0,1.0,5,0,5,0,0,0,5,0,0,0,6,5,0,6,0,0,0,0,7,45,0,0,0,0,0,15,6,14,1,13,0,0,0,0,32,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/intro/IntroActivity.java,it.feio.android.omninotes.intro.IntroActivity,class,9,10,1,9,4,2,0,10,6,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/DataBackupIntentService.java,it.feio.android.omninotes.async.DataBackupIntentService,class,17,20,3,17,23,2,0,42,21,0.7875,0.0,0.0,10,0,3,6,1,0,4,0,0,3,8,6,6,2,0,0,6,0,18,102,0,1,0,0,0,11,1,27,1,24,1,0,0,0,77,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/widget/ListWidgetService.java,it.feio.android.omninotes.widget.ListWidgetService,class,4,5,1,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/bus/SwitchFragmentEvent.java,it.feio.android.omninotes.async.bus.SwitchFragmentEvent$Direction,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/SystemHelper.java,it.feio.android.omninotes.utils.SystemHelper,class,3,6,3,3,6,1,0,6,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,22,0,1,1,1,0,2,1,2,1,2,3,0,0,0,35,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/PlacesAutoCompleteAdapter.java,it.feio.android.omninotes.models.adapters.PlacesAutoCompleteAdapter,class,5,6,1,5,4,2,0,2,4,0.75,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,35,3,0,0,0,0,0,1,1,0,2,0,1,0,0,26,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/NavigationDrawerFragment.java,it.feio.android.omninotes.NavigationDrawerFragment$Anonymous1,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/MiscUtils.java,it.feio.android.omninotes.utils.MiscUtils,class,1,2,1,1,3,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,1,0,1,2,0,0,0,1,0,0,0,28,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/NavDrawerAdapter.java,it.feio.android.omninotes.models.adapters.NoteDrawerAdapterViewHolder,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/SketchFragment.java,it.feio.android.omninotes.SketchFragment$Anonymous1$Anonymous2,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/widget/WidgetConfigurationActivity.java,it.feio.android.omninotes.widget.WidgetConfigurationActivity,class,10,10,0,10,7,2,0,24,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,4,0,0,4,0,0,0,0,1,60,0,0,4,0,0,12,1,15,3,16,2,0,0,2,71,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/Note.java,it.feio.android.omninotes.models.Note$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/bus/PushbulletReplyEvent.java,it.feio.android.omninotes.async.bus.PushbulletReplyEvent,class,1,3,2,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/UndoBarController.java,it.feio.android.omninotes.models.UndoBarController$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/views/Fab.java,it.feio.android.omninotes.models.views.Fab$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/UndoBarController.java,it.feio.android.omninotes.models.UndoBarController$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/views/Fab.java,it.feio.android.omninotes.models.views.Fab$Anonymous1,anonymous,1,1,0,1,4,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/IdeogramsWordCounter.java,it.feio.android.omninotes.helpers.count.IdeogramsWordCounter,class,3,7,4,3,2,1,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,3,0,1,1,2,0,0,0,1,16,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/views/SketchView.java,it.feio.android.omninotes.models.views.SketchView,class,15,18,3,15,43,2,0,37,119,0.8819875,0.22380953,0.9047619,23,0,19,2,2,0,21,0,0,0,19,5,4,15,0,0,5,0,3,185,9,2,10,0,3,2,13,37,8,25,2,0,0,0,98,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/notes/NoteProcessor.java,it.feio.android.omninotes.async.notes.NoteProcessor,class,4,12,8,4,4,2,4,3,0,0.25,0.5,0.5,4,0,1,0,3,0,4,1,0,0,1,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,2,0,2,0,0,1,0,12,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/views/Fab.java,it.feio.android.omninotes.models.views.Fab$Anonymous3,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/holders/ImageAndTextItem.java,it.feio.android.omninotes.models.holders.ImageAndTextItem,class,0,1,1,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,4,0,2,0,0,0,0,8,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/BackupHelper.java,it.feio.android.omninotes.helpers.BackupHelper,class,17,21,4,17,45,1,0,73,190,1.0,0.0,0.0,20,20,19,1,0,0,19,0,0,0,1,1,0,1,0,0,0,0,48,197,16,8,4,6,3,18,4,42,9,39,5,0,0,2,114,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/bus/NotificationRemovedEvent.java,it.feio.android.omninotes.async.bus.NotificationRemovedEvent,class,2,3,1,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/ResourcesUtils.java,it.feio.android.omninotes.utils.ResourcesUtils,class,2,3,1,2,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/helpers/count/CountFactoryTest.java,it.feio.android.omninotes.helpers.count.CountFactoryTest,class,8,8,0,8,4,2,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/async/bus/NotesUpdatedEvent.java,it.feio.android.omninotes.async.bus.NotesUpdatedEvent,class,2,8,6,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/ParcelableUtil.java,it.feio.android.omninotes.utils.ParcelableUtil,class,5,9,4,5,3,1,0,8,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,21,3,0,0,0,0,0,3,5,0,5,0,0,0,0,11,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/date/DateHelper.java,it.feio.android.omninotes.helpers.date.DateHelper,class,9,16,7,9,20,1,0,26,78,0.0,0.0,0.0,13,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,21,93,17,0,3,1,2,11,8,19,10,18,2,0,0,0,75,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/exceptions/GenericException.java,it.feio.android.omninotes.exceptions.GenericException,class,0,1,1,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/test/java/it/feio/android/omninotes/helpers/count/DefaultWordCounterTest.java,it.feio.android.omninotes.helpers.count.DefaultWordCounterTest,class,4,4,0,4,4,2,0,6,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,26,0,0,0,0,0,11,9,8,2,8,0,0,0,0,29,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/PermissionsHelper.java,it.feio.android.omninotes.helpers.PermissionsHelper,class,5,7,2,5,7,1,0,13,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,3,0,0,1,0,1,1,3,3,0,0,2,17,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/NavDrawerCategoryAdapter.java,it.feio.android.omninotes.models.adapters.NoteDrawerCategoryAdapterViewHolder,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/Note.java,it.feio.android.omninotes.models.Note,class,7,57,50,7,26,2,0,56,134,0.9411765,0.008333334,0.008333334,17,0,16,1,0,0,16,0,0,0,2,1,1,1,0,0,1,0,4,111,6,1,1,1,2,0,12,6,0,5,1,1,0,0,63,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/BaseAndroidTestCase.java,it.feio.android.omninotes.BaseAndroidTestCase,class,8,18,10,8,3,1,9,13,0,0.72222215,1.0,1.0,3,3,2,1,0,0,2,0,0,0,6,5,1,2,3,0,2,0,3,24,0,0,0,0,0,3,0,7,0,6,0,0,0,0,46,1,0
