FullClassPath,AntiPattern
org.telegram.ui.Components.AnimationProperties,ClassDataShouldBePrivate
org.telegram.tgnet.TLObject,ClassDataShouldBePrivate
org.telegram.ui.Components.PickerBottomLayout,ClassDataShouldBePrivate
org.telegram.PhoneFormat.CallingCodeInfo,ClassDataShouldBePrivate
org.telegram.ui.Components.Size,ClassDataShouldBePrivate
org.telegram.messenger.NotificationsController,ClassDataShouldBePrivate
org.telegram.PhoneFormat.RuleSet,ClassDataShouldBePrivate
org.telegram.ui.Components.URLSpanBotCommand,ClassDataShouldBePrivate
org.telegram.messenger.ImageLocation,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.ChartHeaderView,ClassDataShouldBePrivate
org.telegram.messenger.DownloadObject,ClassDataShouldBePrivate
org.telegram.messenger.SecureDocumentKey,ClassDataShouldBePrivate
org.telegram.messenger.WebFile,ClassDataShouldBePrivate
org.telegram.messenger.video.AudioRecoder,ClassDataShouldBePrivate
org.telegram.ui.Components.InstantCameraView,ClassDataShouldBePrivate
org.telegram.messenger.SharedConfig,ClassDataShouldBePrivate
org.telegram.ui.DialogsActivity,ClassDataShouldBePrivate
org.telegram.ui.Cells.DialogMeUrlCell,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.LineViewData,ClassDataShouldBePrivate
org.telegram.ui.Components.Paint.Swatch,ClassDataShouldBePrivate
org.telegram.ui.Components.PickerBottomLayoutViewer,ClassDataShouldBePrivate
org.telegram.ui.Components.Paint.Path,ClassDataShouldBePrivate
org.telegram.ui.Components.Point,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.BarViewData,ClassDataShouldBePrivate
org.telegram.PhoneFormat.PhoneRule,ClassDataShouldBePrivate
org.telegram.messenger.MediaController,ClassDataShouldBePrivate
org.telegram.ui.ActionBar.ActionBarLayout,ClassDataShouldBePrivate
org.telegram.ui.Components.ChatAttachAlert,ClassDataShouldBePrivate
org.telegram.messenger.ApplicationLoader,ClassDataShouldBePrivate
org.telegram.ui.Charts.ChartPickerDelegate,ClassDataShouldBePrivate
org.telegram.messenger.LocationController,ClassDataShouldBePrivate
org.telegram.ui.Components.voip.VoIPHelper,ClassDataShouldBePrivate
org.telegram.ui.Components.AnimatedFileDrawable,ClassDataShouldBePrivate
org.telegram.messenger.voip.VoIPService,ClassDataShouldBePrivate
org.telegram.ui.Components.PullForegroundDrawable,ClassDataShouldBePrivate
org.telegram.messenger.LocaleController,ClassDataShouldBePrivate
org.telegram.ui.Components.RecyclerAnimationScrollHelper,ClassDataShouldBePrivate
org.telegram.ui.Charts.data.StackBarChartData,ClassDataShouldBePrivate
org.telegram.ui.Components.Paint.RenderState,ClassDataShouldBePrivate
org.telegram.ui.Charts.data.DoubleLinearChartData,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.ChartHorizontalLinesData,ClassDataShouldBePrivate
org.telegram.ui.Components.GroupedPhotosListView,ClassDataShouldBePrivate
org.telegram.ui.Charts.data.ChartData,ClassDataShouldBePrivate
org.telegram.ui.Charts.data.StackLinearChartData,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.LegendSignatureView,ClassDataShouldBePrivate
org.telegram.ui.Components.StaticLayoutEx,ClassDataShouldBePrivate
org.telegram.messenger.LinkifyPort,ClassDataShouldBePrivate
org.telegram.ui.Components.Paint.Point,ClassDataShouldBePrivate
org.telegram.messenger.ContactsController,ClassDataShouldBePrivate
org.telegram.ui.Cells.DialogCell,ClassDataShouldBePrivate
org.telegram.ui.Charts.BaseChartView,ClassDataShouldBePrivate
org.telegram.ui.ActionBar.ThemeDescription,ClassDataShouldBePrivate
org.telegram.messenger.SecureDocument,ClassDataShouldBePrivate
org.telegram.messenger.SecretChatHelper,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.ChartBottomSignatureData,ClassDataShouldBePrivate
org.telegram.ui.ActionBar.Theme,ClassDataShouldBePrivate
org.telegram.messenger.BuildVars,ClassDataShouldBePrivate
org.telegram.ui.Components.RecyclerListView,ClassDataShouldBePrivate
org.telegram.ui.ActionBar.ActionBar,ClassDataShouldBePrivate
org.telegram.messenger.DownloadController,ClassDataShouldBePrivate
org.telegram.messenger.MessageKeyData,ClassDataShouldBePrivate
org.telegram.ui.Cells.ChatMessageCell,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.StackBarViewData,ClassDataShouldBePrivate
org.telegram.messenger.Utilities,ClassDataShouldBePrivate
org.telegram.messenger.MediaDataController,ClassDataShouldBePrivate
org.telegram.tgnet.NativeByteBuffer,ClassDataShouldBePrivate
org.telegram.ui.Cells.ProfileSearchCell,ClassDataShouldBePrivate
org.telegram.ui.Charts.view_data.TransitionParams,ClassDataShouldBePrivate
org.telegram.ui.WebviewActivity,ClassDataShouldBePrivate
org.telegram.ui.Components.CircleBezierDrawable,ClassDataShouldBePrivate
org.telegram.ui.Cells.PhotoPickerPhotoCell,ClassDataShouldBePrivate
org.telegram.ui.Components.IntSize,ClassDataShouldBePrivate
org.telegram.messenger.Emoji,ClassDataShouldBePrivate
org.telegram.messenger.AndroidUtilities,ClassDataShouldBePrivate
org.telegram.ui.Components.ProgressView,ClassDataShouldBePrivate
org.telegram.ui.Components.LetterDrawable,ClassDataShouldBePrivate
org.telegram.messenger.VideoEditedInfo,ClassDataShouldBePrivate
org.telegram.ui.Components.PagerSlidingTabStrip,ClassDataShouldBePrivate
org.telegram.ui.Components.Rect,ClassDataShouldBePrivate
org.telegram.PhoneFormat.PhoneFormat,ClassDataShouldBePrivate
org.telegram.messenger.MessagesController,ClassDataShouldBePrivate
org.telegram.messenger.MessageObject,ClassDataShouldBePrivate
org.telegram.ui.Components.ImageUpdater,ClassDataShouldBePrivate
org.telegram.messenger.UserConfig,ClassDataShouldBePrivate
org.telegram.ui.Components.FlatCheckBox,ClassDataShouldBePrivate
